SquareFootage,Bedrooms,Bathrooms,Price
2248,2,2,449849
1930,4,4,438630
2323,2,4,473908
2761,5,1,529626
1882,6,4,455572
1882,6,2,437297
2789,6,1,533931
2383,4,1,458040
1765,6,1,378709
2271,5,1,448593
1768,4,3,400179
1767,4,2,397237
2120,4,2,436203
1043,5,1,262766
1137,2,1,256047
1718,2,2,355788
1493,2,3,339196
2157,1,3,444547
1545,6,3,382922
1293,6,1,316663
2732,5,3,552373
1887,3,3,397595
2033,6,1,440799
1287,4,3,342868
1727,2,3,390601
2055,3,4,427407
1424,6,4,379895
2187,2,2,418425
1699,6,2,394628
1854,5,1,395787
1699,3,2,370349
2926,3,2,523242
1993,3,1,382450
1471,4,1,324645
2411,6,3,513088
1389,2,3,308524
2104,2,3,414485
1020,1,2,239353
1335,2,2,302174
2098,4,3,451054
2369,6,4,530952
2085,6,4,496644
1942,6,2,422172
1849,3,1,370077
1260,5,4,349442
1640,6,3,399196
1769,5,3,405581
2528,1,2,464419
2171,1,3,419287
1118,3,1,270217
2162,4,4,471120
1807,3,2,373482
1661,4,2,377031
2305,1,1,405715
2515,4,3,517220
2465,3,3,486192
1580,3,2,354436
1845,2,3,388357
2165,4,4,485354
2487,1,1,437959
1760,5,4,420666
1907,2,3,402920
1446,1,1,286425
1401,6,4,383146
2406,1,2,439213
2678,6,4,574897
1963,6,2,432005
2501,1,1,445394
2180,4,3,453149
1677,1,4,376351
2180,5,3,488094
2769,5,2,543952
1982,3,3,402776
2782,2,4,548299
690,5,2,238649
2410,4,1,467395
2043,2,4,446822
1850,4,2,387570
2045,5,2,437995
1006,2,4,274187
1890,5,4,438965
2178,1,4,439292
2738,6,4,568255
1740,2,3,361884
1595,6,4,402395
1749,5,2,393845
2457,6,1,487397
2164,6,4,489340
1735,4,1,358316
2256,6,2,476173
2048,6,2,434583
2484,2,3,506929
1648,2,1,331518
1836,2,1,347388
1803,3,1,346645
1268,1,1,248455
2148,2,4,448561
2130,6,3,490788
2002,5,4,464814
1882,4,2,401966
1292,5,2,318563
1789,3,2,375635
1828,6,4,456082
1598,6,3,422926
1919,2,4,415816
2202,1,2,419395
2943,6,1,562415
2087,4,3,444671
2128,3,1,412508
1962,6,1,424152
1040,2,1,229927
1986,1,1,382841
2030,4,3,442046
3231,4,4,645465
1903,4,1,383789
2150,4,3,483977
1982,1,2,405427
1415,2,4,340885
2571,2,2,480293
2375,1,4,466426
2395,4,1,462464
1545,5,4,394739
2701,4,3,531720
1299,6,4,362207
2293,2,2,443155
3095,1,1,536379
1504,6,1,344256
1716,6,3,393922
2049,4,4,450733
1748,6,4,448532
1224,1,4,299953
2034,4,1,418967
1468,5,1,327661
2236,1,3,448477
1540,5,2,332398
2774,1,3,523772
1608,4,3,373255
1838,1,1,333664
2406,5,1,463707
1384,2,2,329008
2113,5,2,458614
2653,4,4,536974
1196,2,1,268811
2092,2,2,413028
2129,5,1,434670
2390,2,4,511317
1381,4,1,301372
1339,1,3,303102
2260,5,3,471972
2148,4,2,416792
2125,6,4,489624
2173,4,4,475832
1659,6,2,368276
2116,1,4,417991
2146,6,2,457392
1642,5,4,412341
2932,1,1,519119
2236,1,2,430766
1404,5,3,336572
